assessment_result,ia_success,max_size,first_size,first_status_held,sec_to_uc,aircraft_n_Fixed,aircraft_n_Rotary,aircraft_n_total,aircraft_hr_Fixed,aircraft_hr_Rotary,aircraft_hr_total,n_firefighters,n_non_firefighters,hr_firefighters,hr_non_firefighters,drop_amount_retardant,drop_amount_water,drop_amount_total,n_fire_past_1,n_fire_past_7,n_fire_past_30,response_time,general_cause,year,month,latitude,longitude,assessment_size,fire_spread_rate,fire_position_on_slope,temperature,relative_humidity,wind_direction,wind_speed,weather_conditions_over_fire,equipment_Transportation,equipment_Water_Delivery,equipment_Sustained_Action,equipment_Fire_Guard_Building,equipment_Crew_Gear,equipment_Base_Camp,equipment_WaterTruck_Transportation,wstation_dry_bulb_temperature,wstation_relative_humidity,wstation_wind_speed_kmh,wstation_wind_direction,wstation_precipitation,wstation_fine_fuel_moisture_code,wstation_duff_moisture_code,wstation_drought_code,wstation_build_up_index,wstation_initial_spread_index,wstation_fire_weather_index,wstation_daily_severity_rating,fuelgrid_C,fuelgrid_D,fuelgrid_M,fuelgrid_Nonfuel,fuelgrid_O,fuelgrid_S,fuelgrid_Unclassified,fuelgrid_Water,fuel_type2,grouped_fuel_type2,fbp_CFB,fbp_CFC,fbp_FD,fbp_HFI,fbp_RAZ,fbp_ROS,fbp_SFC,fbp_TFC,fbp_HFI_class,fuel_type,grouped_fuel_type,test_i
Delayed Action - No Resources Available,1,0.2,0.2,FALSE,660,0,1,1,0,0.5,0.5,3,2,12.5,4,0,0,0,17,58,90,5040,other,2005,4,55.106317,-117.9038,0.2,0.1,Bottom,23,24,SE,10,Clear,0,0,0,0,0,0,0,19,38.33,10,315,0,89.2,13.6,56.4,17,6.3,8.9,1.3,0,25,0,53,0,0,0,0,D-1/D-2,D,0,0,S,128.20569346718466,134.99999999999994,1.0656126162678714,0.40103908778221076,0.40103908778221076,2,M1,M,0
Immediate Action,1,0.4,0.2,FALSE,660,0,1,1,0,0.8,0.8,0,2,0,5.5,0,0,0,17,71,107,0,other,2005,4,53.437067,-117.499083,0.2,1,Flat,18,25,E,25,Cloudy,0,0,0,0,0,0,0,22.9,25,22,45,0,92.5,36.2,138.2,43.7,18.7,32,12.56,44,5,0,23,7,0,0,0,C-3,C,0.6541840396489692,0.7523116455963146,I,10032.203266515417,225,17.914499686511558,1.1143705470540346,1.8666821926503492,6,O1a,O,0
Delayed Action - No Resources Available,1,7,7,FALSE,60,0,1,1,0,1.3,1.3,3,0,0.75,0,0,0,0,17,71,107,6960,other,2005,4,54.523956,-111.457051,7,5,Flat,18,25,SW,15,Cloudy,0,0,0,0,0,0,0,17.5,31.45,16,360,0,90.3,17.5,77.4,22.4,10,14.8,3.2,0,64,0,3,0,0,0,12,D-1/D-2,D,0,0,S,340.5246273346755,180,2.250160330786203,0.5044449835798984,0.5044449835798984,2,D1,D,0
Delayed Action - No Resources Available,1,8.3,0.01,FALSE,300,0,1,1,0,0.5,0.5,3,0,0.75,0,0,0,0,17,71,107,7740,other,2005,4,54.523956,-111.419401,0.01,0.5,Flat,17.5,25,SW,15,Cloudy,0,0,0,0,0,0,0,17.5,31.45,16,360,0,90.3,17.5,77.4,22.4,10,14.8,3.2,0,57,0,0,15,0,0,7,O-1,O,0,0,S,1880.1446141366732,180,17.90613918225403,0.35,0.35,3,D1,D,0
Immediate Action,1,1.4,0.03,FALSE,2160,0,2,2,0,7.199999999999999,7.199999999999999,11,7,105.75,38.25,0,0,0,17,71,107,840,other,2005,4,54.135183,-115.530633,0.03,1,Upper 1/3,19,40,N,10,Clear,1,1,0,0,0,0,0,18,33.47,13,135,0,90,17.8,48.8,18.6,8.2,11.6,2.09,20,50,5,0,4,0,0,0,D-1/D-2,D,0,0,S,209.31778420309993,315,1.6123066642167179,0.4327501478650973,0.4327501478650973,2,O1a,O,0
Immediate Action,1,6,6,TRUE,0,0,0,0,0,0,0,7,1,47.25,2,0,0,0,17,71,107,7380,other,2005,4,54.6691,-113.57407,6,0,Flat,18,65,SW,10,Clear,0,1,0,0,0,0,0,19,34.25,24,45,0,91.7,19.2,108.3,26.6,18.3,25.1,8.14,0,0,0,79,0,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Delayed Action - No Resources Available,1,5.1,0.01,FALSE,4800,0,1,1,0,1,1,3,2,0.75,3.25,0,0,0,17,71,107,3000,other,2005,4,54.52757,-111.463274,0.01,5,Flat,17.5,25,S,16,Clear,0,0,0,0,0,0,0,17.5,31.45,16,360,0,90.3,17.5,77.4,22.4,10,14.8,3.2,0,44,0,2,0,0,0,29,D-1/D-2,D,0,0,S,340.5246273346755,180,2.250160330786203,0.5044449835798984,0.5044449835798984,2,O1b,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,1,1,0,0.2,0.2,3,2,0.75,5,0,0,0,17,71,107,6720,other,2005,4,54.516728,-111.520215,0.01,0,Flat,19,17,SW,6,Clear,0,0,0,0,0,0,0,17.5,31.45,16,360,0,90.3,17.5,77.4,22.4,10,14.8,3.2,0,24,0,20,7,0,0,28,D-1/D-2,D,0,0,S,340.5246273346755,180,2.250160330786203,0.5044449835798984,0.5044449835798984,2,O1b,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,2,1,2,0.75,0,0,0,17,71,107,840,other,2005,4,55.249233,-114.658617,0.01,0,Flat,21,30,W,5,Clear,0,0,0,0,0,0,0,18,30.04,5,315,0,89.3,9.2,19.2,9.2,5,5.1,0.49,17,33,29,0,0,0,0,0,M-1/M-2,M,0,0,S,125.25942227487104,134.99999999999994,1.1370636104447505,0.3672014509545253,0.3672014509545253,2,O1a,O,0
Immediate Action,1,0.3,0.3,FALSE,300,0,0,0,0,0,0,10,0,10.75,0,0,0,0,21,90,128,600,other,2005,4,55.907183,-113.863633,0.3,1,Flat,15,45,NW,15,Clear,0,1,0,0,0,0,0,13,51.33,15,315,0,89,23.7,139.9,33.3,7.9,15.1,3.33,5,12,56,0,4,0,0,0,M-1/M-2,M,0,0,S,1760.2365426973342,134.99999999999994,5.15765498858422,1.1376207123801951,1.1376207123801951,3,O1a,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,21,90,128,11460,other,2005,4,54.636722,-111.898271,0.01,0,Flat,14,35,NW,10,Cloudy,0,0,0,0,0,0,0,15.5,32.26,28,360,0,89.6,15.7,100.1,22.6,16.6,21.7,6.32,0,50,0,20,5,0,0,4,D-1/D-2,D,0,0,S,688.4577868648607,180,4.5167099817619905,0.5080820550391637,0.5080820550391637,3,O1b,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,1,0,2,0,0,0,21,90,128,6600,other,2005,4,53.837308,-115.972991,0.01,0,Flat,15,25,CLM,0,Clear,0,0,0,0,0,0,0,17,49.61,9,225,0.01,88.6,14,93.1,20.4,5.5,8.7,1.25,6,0,0,1,71,0,0,0,O-1,O,0,0,S,894.1523525352313,45,8.515736690811726,0.35,0.35,3,O1a,O,1
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,10,0,5,0,0,0,0,21,90,128,600,other,2005,4,55.9807,-113.763067,0.01,0,Upper 1/3,14,51,SE,5,Clear,0,1,0,0,0,0,0,13,51.33,15,315,0,89,23.7,139.9,33.3,7.9,15.1,3.33,19,30,0,28,0,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.81,0.01,FALSE,1680,0,1,1,0,1.1,1.1,2,2,6,5.5,0,0,0,21,90,128,2520,other,2005,4,54.35121,-110.997924,0.01,1,Flat,20,32,NE,5,Clear,0,0,0,0,0,0,0,17,48.93,3,180,0,89.1,21.8,142.5,31.6,4.4,9.1,1.36,4,28,0,0,45,0,0,0,O-1,O,0,0,S,669.636463051788,0,6.377490124302743,0.35,0.35,3,O1a,O,0
Immediate Action,1,2,2,FALSE,1,0,0,0,0,0,0,0,1,0,2,0,0,0,23,111,151,0,other,2005,4,55.263296,-117.946288,2,0,Flat,16,33,SE,10,Clear,0,0,0,0,0,0,0,16,33.12,10,315,0,82.9,14.9,62.7,18.7,2.6,4.1,0.33,0,45,0,34,0,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.4,0.4,FALSE,1980,0,0,0,0,0,0,0,1,0,4.75,0,0,0,23,111,151,2100,other,2005,4,55.228693,-116.686523,0.4,1,Flat,20,25,E,15,Clear,0,0,0,0,0,0,0,17,30,18,270,0,90.5,29.9,78.4,30.6,11.4,19.2,5.07,0,36,0,44,0,0,0,0,D-1/D-2,D,0,0,S,556.2366195637431,90,2.8827902048277063,0.6431692677834984,0.6431692677834984,3,O1a,O,1
Immediate Action,1,2,1,FALSE,7020,0,2,2,0,2.5999999999999996,2.5999999999999996,3,0,5.75,0,0,0,0,23,111,151,840,other,2005,4,55.99615,-110.473233,1,0.5,Flat,10,25,NE,10,Clear,0,0,0,0,0,0,0,14,35.8,9,135,0,87.8,12.4,128.5,19.9,4.9,7.8,1.04,11,2,0,16,50,0,0,1,O-1,O,0,0,S,770.337309565335,315,7.336545805384143,0.35,0.35,3,O1a,O,1
Immediate Action,1,0.1,0.1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,111,151,4500,other,2005,4,55.906094,-113.838421,0.1,0,Flat,12,65,CLM,0,Clear,0,0,0,0,0,0,0,16,39.66,10,90,0,89,26.2,143.7,36,6.2,13.1,2.58,20,19,37,1,2,0,0,0,M-1/M-2,M,0,0,S,1375.5908283011615,270,3.791406267196993,1.2093936755540078,1.2093936755540078,3,O1a,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,2,0,1.25,0,0,0,0,23,111,151,300,other,2005,4,55.981017,-113.892883,0.01,0,Flat,18,35,NW,10,Clear,0,1,0,0,0,0,0,16,39.66,10,90,0,89,26.2,143.7,36,6.2,13.1,2.58,3,2,0,41,4,0,0,27,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,1
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,5,1,15,3,0,0,0,23,111,151,2640,other,2005,4,54.7087,-111.921267,0.01,1,Lower 1/3,18,35,NE,8,Clear,0,0,0,0,0,0,0,12,50.69,16,180,0,88.1,17.3,103.2,24.3,7.4,12.2,2.27,0,75,0,5,0,0,0,0,D-1/D-2,D,0,0,S,239.6085100641939,0,1.483279708328664,0.538465556470984,0.538465556470984,2,M1,M,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,117,162,14400,other,2005,4,55.01489,-111.69842,0.01,0,Flat,7,35,N,20,Cloudy,0,0,0,0,0,0,0,15,35.06,17,135,0,89,21.6,109.9,29,8.8,15.3,3.41,41,26,0,12,0,0,0,0,C-2,C,0.7234045425242667,0.5787236340194134,I,4849.548165617164,315,8.09608397405371,1.4179405068001776,1.996664140819591,5,O1b,O,0
Immediate Action,1,0.05,0.05,TRUE,0,0,0,0,0,0,0,0,1,0,3.5,0,0,0,11,117,162,5880,other,2005,4,54.591272,-110.263141,0.05,7,Flat,15,35,SE,5,Clear,0,0,0,0,0,0,0,17,27,9,180,0,90.7,27.6,228.5,42.4,7.5,16.5,3.9,3,68,2,7,0,0,0,0,D-1/D-2,D,0,0,S,403.03272899364976,0,1.659431741966612,0.8095798073542351,0.8095798073542351,2,O1b,O,0
Immediate Action,1,0.02,0.02,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,117,162,840,other,2005,4,55.981067,-113.897733,0.02,1,Flat,13,60,SE,5,Cloudy,0,0,0,0,0,0,0,19,30.77,6,90,0,90.4,29.6,148.1,39.4,6.1,13.7,2.78,3,0,0,23,4,0,0,47,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.3,0.3,TRUE,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,11,117,162,80580,other,2005,4,54.071717,-115.460267,0.3,0,Middle 1/3,8,45,NW,5,Cloudy,0,0,0,0,0,0,0,18,30.04,13,90,0,90.4,25,59.9,25,8.8,14.2,2.98,0,0,0,0,79,0,0,0,O-1,O,0,0,S,1611.489801416716,270,15.347521918254438,0.35,0.35,3,O1a,O,1
Immediate Action,1,0.12,0.1,TRUE,0,0,0,0,0,0,0,1,2,0.5,3.5,0,0,0,11,117,162,840,other,2005,4,56.469467,-116.378633,0.1,0,Flat,18,32,N,25,Cloudy,0,0,0,0,0,0,0,18,32.29,25,180,0,89.5,13.1,64.2,17.4,14,17,4.09,2,31,0,37,9,0,0,1,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,D1,D,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,3,1,4.5,0.5,0,0,0,11,117,162,1560,other,2005,4,51.1189,-114.911783,0.01,0,Upper 1/3,16,30,NW,2,Clear,0,0,0,0,0,0,0,18,29,11,90,0,90.4,31,103.3,35.4,7.9,15.7,3.55,3,48,0,5,24,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,1
Immediate Action,1,6.6,3,TRUE,0,0,0,0,0,0,0,1,0,5.5,0,0,0,0,13,72,200,7620,other,2005,4,59.039467,-117.714167,3,0.5,Lower 1/3,-1,55,SW,5,Clear,0,0,0,0,0,0,0,2.6,36,12,225,0,86.2,6.6,226.5,12.3,4.6,5.5,0.56,3,26,0,39,0,0,0,11,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,D1,D,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61,222,0,other,2005,5,52.648483,-114.879317,0.01,0.5,Lower 1/3,21,42,NE,8,Clear,0,0,0,0,0,0,0,8,48.48,10,315,0,84.6,24.9,94.7,30.1,3.3,6.9,0.84,5,50,13,5,4,0,0,0,O-1,O,0,0,S,458.2318927999376,134.99999999999994,4.36411326476131,0.35,0.35,2,O1a,O,1
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,61,222,60,other,2005,5,52.655805,-114.86747,0.01,0.5,Flat,21,42,SW,8,Clear,0,0,0,0,0,0,0,8,48.48,10,315,0,84.6,24.9,94.7,30.1,3.3,6.9,0.84,0,68,1,2,5,0,0,0,D-1/D-2,D,0,0,S,87.23220376683811,134.99999999999994,0.4577004316318496,0.6352932889301064,0.6352932889301064,2,O1b,O,0
Immediate Action,1,2,2,FALSE,600,4,0,4,0.9,0,0.9,6,0,19.06,0,9082.92,0,9082.92,15,61,222,2160,other,2005,5,55.684661,-115.090858,2,0.5,Flat,10,30,S,5,Clear,0,0,0,0,0,0,0,5.5,37.67,8,315,0,84.8,15.9,83.4,21.5,3.1,5.2,0.51,13,41,4,8,14,0,0,0,C-2,C,0,0,S,504.62109996387727,134.99999999999994,1.5357546336121322,1.095272836166969,1.095272836166969,3,O1a,O,1
Immediate Action,1,1.16,0.5,TRUE,0,0,0,0,0,0,0,0,3,0,5,0,0,0,15,61,222,5400,other,2005,5,56.190957,-118.345006,0.5,0,Flat,10,45,S,2,Clear,0,0,0,0,0,0,0,8,42.07,9,270,0,85.7,26.7,77.4,28.7,3.6,7.4,0.93,48,0,0,30,0,0,0,0,C-1,C,0,0,S,24.4722540075229,90,0.0693270704549899,1.1766569608337594,1.1766569608337594,2,O1a,O,1
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,15,61,222,1140,other,2005,5,52.63393,-114.897384,0.01,0,Upper 1/3,12,28,SE,8,Clear,0,0,0,0,0,0,0,8,48.48,10,315,0,84.6,24.9,94.7,30.1,3.3,6.9,0.84,6,59,1,7,5,0,0,0,D-1/D-2,D,0,0,S,87.23220376683811,134.99999999999994,0.4577004316318496,0.6352932889301064,0.6352932889301064,2,O1a,O,0
Immediate Action,1,0.5,0.4,FALSE,10680,0,1,1,0,3,3,9,3,53,9.5,0,0,0,17,75,237,0,other,2005,5,58.389236,-115.970108,0.4,5,Lower 1/3,13,35,NW,5,Clear,0,1,0,0,0,0,0,15,24,3,360,0,91.1,13,313.7,23.6,5.9,10,1.59,0,36,0,43,0,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,D1,D,0
Immediate Action,1,0.25,0.25,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,75,237,42660,other,2005,5,54.852901,-113.570064,0.25,0,Upper 1/3,1,78,SE,10,Cloudy,0,0,0,0,0,0,0,8,42.07,15,315,0,80.4,18.1,126.3,26.6,2.5,5,0.46,0,0,0,0,78,0,0,0,O-1,O,0,0,S,316.0153745139664,134.99999999999994,3.0096702334663465,0.35,0.35,2,O1a,O,1
Immediate Action,1,0.5,0.2,TRUE,0,0,0,0,0,0,0,0,2,0,6.75,0,0,0,17,75,237,3120,other,2005,5,58.517567,-117.077817,0.2,1,Flat,16,25,N,5,Clear,0,0,0,0,0,0,0,15.5,31.1,0,0,0,89.3,13.4,147.6,21.9,3.9,6.7,0.78,0,32,0,44,4,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,D1,D,0
Immediate Action,1,0.1,0.1,FALSE,300,0,0,0,0,0,0,0,1,0,2.75,0,0,0,17,75,237,2100,other,2005,5,55.951917,-113.9205,0.1,0,Flat,8,55,NW,5,Clear,0,0,0,0,0,0,0,10,56.26,3,180,0,86.3,27.4,166.7,38.8,2.9,7.3,0.92,76,0,2,0,0,0,0,0,C-2,C,0.033832908474750956,0.027066326779800767,S,1106.9243763082825,0,2.0198012887985706,1.7997212594497163,1.826787586229517,3,S2,S,1
Immediate Action,1,0.1,0.1,TRUE,0,0,0,0,0,0,0,1,1,4.75,3.75,0,0,0,17,75,237,10380,other,2005,5,55.254783,-111.9467,0.1,0.1,Middle 1/3,12,36,NE,2,Clear,0,0,0,0,0,0,0,6,31.86,6,225,0,70.8,7.8,96.2,12.9,0.9,0.6,0.01,41,24,0,0,13,0,0,0,C-3,C,0,0,S,0.10018291823404908,45,0.00273415148774074,0.122137731679273,0.122137731679273,1,S1,S,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,84,256,480,other,2005,5,55.993767,-113.886067,0.01,0,Lower 1/3,8,40,E,5,Clear,0,0,0,0,0,0,0,15,22.57,10,90,0,90.5,30.7,171.8,42.4,7.7,16.9,4.03,0,42,0,0,0,0,0,35,D-1/D-2,D,0,0,S,418.8540341976814,270,1.7245737866845867,0.8095798073542351,0.8095798073542351,2,O1a,O,0
Immediate Action,1,0.01,0.01,TRUE,0,0,0,0,0,0,0,1,0,1.25,0,0,0,0,19,84,256,60,other,2005,5,55.931727,-110.725936,0.01,0.1,Flat,10,20,SE,10,Cloudy,0,0,0,0,0,0,0,14,24.08,9,135,0,90.4,18.7,155.6,28.8,7.2,13.1,2.57,0,29,1,46,1,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,1.5,1.5,FALSE,1500,0,0,0,0,0,0,9,1,45,0.5,0,0,0,19,84,256,4380,other,2005,5,54.451317,-111.57335,1.5,0,Flat,15,30,W,12,Cloudy,0,1,0,0,0,0,0,14.5,29.02,7,135,0,88.4,21.1,109.1,28.5,4.9,9.4,1.45,0,19,0,23,7,0,0,28,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.01,0.01,FALSE,600,0,1,1,0,1,1,1,0,5.25,0,0,0,0,19,84,256,4560,lightning,2005,5,55.559367,-112.25115,0.01,0,Flat,10,20,SE,10,Rainshowers,0,0,0,0,0,0,0,12,37.36,12,135,0,86.9,10.2,78.3,15.3,5,6.9,0.83,38,25,16,0,0,0,0,0,C-2,C,0,0,S,522.9611196438744,315,2.1609059338483294,0.8067004235773462,0.8067004235773462,3,C2,C,0
Immediate Action,1,2,2,TRUE,0,0,1,1,0,1,1,9,0,45,0,0,0,0,19,84,256,1500,other,2005,5,55.931727,-110.732382,2,0.5,Flat,10,20,SE,10,Cloudy,0,0,0,0,0,0,0,14,24.08,9,135,0,90.4,18.7,155.6,28.8,7.2,13.1,2.57,0,5,0,72,1,0,0,0,Non-Fuel,Nonfuel,0,0,"NA",0,0,0,0,0,1,O1a,O,0
Immediate Action,1,0.3,0.3,TRUE,0,0,0,0,0,0,0,7,0,14,0,0,0,0,19,84,256,2880,other,2005,5,55.232398,-116.609589,0.3,0,Flat,17,45,CLM,0,Cloudy,0,0,0,0,0,0,0,16,30,8,135,0,89.2,44.2,108.2,44.1,5.7,13.7,2.8,0,48,0,33,0,0,0,0,D-1/D-2,D,0,0,S,276.7324937336542,315,1.1104013845474678,0.8307281120284072,0.8307281120284072,2,O1a,O,0
Immediate Action,1,1,1,TRUE,0,0,0,0,0,0,0,0,1,0,5.5,0,0,0,14,92,269,97500,other,2005,5,59.970097,-117.685685,1,0,Flat,12,35,NE,15,Clear,0,0,0,0,0,0,0,14.8,22,13,135,0,91.9,16.3,344,29.1,10.8,17.9,4.51,13,8,54,2,0,0,0,0,M-1/M-2,M,0,0,S,2281.3650206002344,315,7.450397669657911,1.0206904927554845,1.0206904927554845,4,O1a,O,1
Immediate Action,1,0.28,0.28,TRUE,0,0,0,0,0,0,0,5,1,4.25,3.75,0,0,0,14,92,269,900,other,2005,5,55.30785,-114.86565,0.28,1,Flat,14,43,NW,10,Cloudy,0,0,0,0,0,0,0,12.5,42.47,18,45,0.01,87.8,19.1,53.3,20.1,7.8,11.6,2.08,25,41,9,0,0,0,0,6,D-1/D-2,D,0,0,S,212.0472914139392,225,1.5310902017629298,0.46164772258308373,0.46164772258308373,2,O1a,O,0
